VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-01-01 07:37:45,2016-01-01 07:51:26,1,3.8,-73.99170684814453,40.753177642822266,1,N,-73.94995880126955,40.785404205322266,1,14.0,0.0,0.5,2.0,0.0,0.3,16.8
2,2016-01-01 07:37:47,2016-01-01 07:52:16,1,6.0,-73.9666290283203,40.76171112060547,1,N,-73.91943359375,40.82770919799805,2,18.0,0.0,0.5,0.0,0.0,0.3,18.8
1,2016-01-01 07:37:55,2016-01-01 07:51:01,1,4.6,-73.98284149169923,40.76610565185547,1,N,-73.92081451416014,40.766639709472656,2,15.0,0.0,0.5,0.0,0.0,0.3,15.8
2,2016-01-01 07:38:02,2016-01-01 07:51:47,6,5.58,-73.98880004882812,40.7412338256836,1,N,-73.94127655029298,40.79177856445313,2,18.0,0.0,0.5,0.0,0.0,0.3,18.8
1,2016-01-01 07:38:03,2016-01-01 07:52:47,1,6.1,-73.9472427368164,40.79078674316406,1,N,-73.93354034423827,40.77200698852539,1,18.5,0.0,0.5,5.75,0.0,0.3,25.05
2,2016-01-01 07:38:03,2016-01-01 07:51:02,5,5.88,-73.97679138183594,40.7398681640625,1,N,-73.95355224609375,40.71562576293945,2,18.0,0.0,0.5,0.0,5.54,0.3,24.34
2,2016-01-01 07:38:10,2016-01-01 07:51:23,1,3.45,-73.98491668701173,40.72802734375,1,N,-73.99311065673827,40.762508392333984,1,13.5,0.0,0.5,2.86,0.0,0.3,17.16
1,2016-01-01 07:38:11,2016-01-01 07:54:31,1,8.0,-73.94744110107422,40.70371627807617,1,N,-73.91120147705078,40.75531768798828,3,23.5,0.0,0.5,0.0,0.0,0.3,24.3
2,2016-01-01 07:38:13,2016-01-01 07:50:29,2,5.32,-73.96796417236328,40.80100631713867,1,N,-73.99520874023438,40.74979019165039,2,17.0,0.0,0.5,0.0,0.0,0.3,17.8
2,2016-01-01 07:38:13,2016-01-01 07:51:25,1,2.55,-73.98226928710938,40.731758117675774,1,N,-73.99080657958984,40.75631332397461,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
